医院组织 id,公众号名称,公众号类型,公众号 appid,文章 id,文章标题,文章内容,文章 url,文章发布日期,oa_文章位置,oa_推送人数,oa_阅读来源,oa_阅读人数,oa_原文页阅读人数,oa_分享人数,oa_拇指赞人数,oa_收藏人数,oa_留言条数,oa_阅读后关注人数,oa_阅读送达率,oa_阅读完成率,oa_平均阅读时长（分钟）,oa_阅读跳出率,oa_统计日期,oa_每日阅读人数,oa_每日分享人数
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,198280,"公众号消息:9475,聊天会话:134,朋友圈:1,公众号主页:55,其他:4,推荐:31,搜一搜:55",198280,0,1712,45,12,4,1,0.0167821198702,0.234073162079,1.24607741833,0.085853010416,2026-03-20,9732,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,208014,"公众号消息:9476,聊天会话:134,朋友圈:1,公众号主页:56,其他:4,推荐:31,搜一搜:55",208014,0,1796,46,12,4,1,0.0167838912457,0.234025061131,1.24585306644,0.0859443917871,2026-03-21,9734,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,217749,"公众号消息:9477,聊天会话:134,朋友圈:1,公众号主页:56,其他:4,推荐:31,搜一搜:55",217749,0,1880,46,12,4,1,0.0167856626213,0.234001025558,1.24585306644,0.0859443917871,2026-03-22,9735,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_2,新年进了ICU，差点丢了性命！只因连犯这3条大忌,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=2&sn=7db3ddc521ed683852ad490235446f5f&chksm=87f0da1cb087530a3848ceda82773378ff9b682500ccf6e37a9570726c717bb404d42721f541#rd,2026-02-28,2,8320,"公众号消息:404,聊天会话:1,朋友圈:2,公众号主页:32,其他:1,搜一搜:30,推荐:0",8320,0,54,8,1,1,0,0.000715564761776,0.153846159577,1.867795825,0.188010901213,2026-03-20,468,4
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_2,新年进了ICU，差点丢了性命！只因连犯这3条大忌,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=2&sn=7db3ddc521ed683852ad490235446f5f&chksm=87f0da1cb087530a3848ceda82773378ff9b682500ccf6e37a9570726c717bb404d42721f541#rd,2026-02-28,2,8791,"公众号消息:405,聊天会话:1,朋友圈:2,公众号主页:33,其他:1,搜一搜:31,推荐:0",8791,0,58,8,1,1,0,0.00071733596269,0.152866244316,1.87029564381,0.18648648262,2026-03-21,471,4
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_2,新年进了ICU，差点丢了性命！只因连犯这3条大忌,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=2&sn=7db3ddc521ed683852ad490235446f5f&chksm=87f0da1cb087530a3848ceda82773378ff9b682500ccf6e37a9570726c717bb404d42721f541#rd,2026-02-28,2,9263,"公众号消息:406,聊天会话:1,朋友圈:2,公众号主页:33,其他:1,搜一搜:31,推荐:0",9263,0,62,8,1,1,0,0.000719107163604,0.152542367578,1.87336909771,0.18598382175,2026-03-22,472,4
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_3,除夕在医院过，他却说：还好得了这场病……,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=3&sn=d63b2517eaa7baa585244e39ee290045&chksm=87f0da1cb087530a7e3574bd4cac5fd889f477da73b20b395d2136753666c2006493d447c403#rd,2026-02-28,3,7267,"公众号消息:352,公众号主页:26,其他:1,搜一搜:28,聊天会话:0,朋友圈:0,推荐:0",7267,0,40,6,0,0,1,0.000623462372459,0.292383283377,1.61736321449,0.132530122995,2026-03-20,407,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_3,除夕在医院过，他却说：还好得了这场病……,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=3&sn=d63b2517eaa7baa585244e39ee290045&chksm=87f0da1cb087530a7e3574bd4cac5fd889f477da73b20b395d2136753666c2006493d447c403#rd,2026-02-28,3,7675,"公众号消息:352,公众号主页:27,其他:1,搜一搜:28,聊天会话:0,朋友圈:0,推荐:0",7675,0,43,6,0,0,1,0.000623462372459,0.291666656733,1.61617064476,0.132132127881,2026-03-21,408,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_3,除夕在医院过，他却说：还好得了这场病……,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=3&sn=d63b2517eaa7baa585244e39ee290045&chksm=87f0da1cb087530a7e3574bd4cac5fd889f477da73b20b395d2136753666c2006493d447c403#rd,2026-02-28,3,8084,"公众号消息:353,公众号主页:27,其他:1,搜一搜:28,聊天会话:0,朋友圈:0,推荐:0",8084,0,46,6,0,0,1,0.000625233573373,0.290953546762,1.61216616631,0.134730532765,2026-03-22,409,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_1,连续坐车45小时后，女子心跳骤停进了抢救室！这种病两类人群会高发,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=1&sn=e60261903db5977bc2a2364435ba7c3f&chksm=87f0dad2b08753c46a926ea43eb8b972cabd9e63da3a33be844490bfbcdfa0060045545b1d54#rd,2026-03-06,1,31433,"公众号消息:2098,聊天会话:29,朋友圈:75,公众号主页:50,其他:2,推荐:3,搜一搜:34",31433,0,516,16,2,1,0,0.00370923685841,0.186649098992,1.90145754814,0.181094527245,2026-03-20,2277,38
