医院组织 id,公众号名称,公众号类型,公众号 appid,文章 id,文章标题,文章内容,文章 url,文章发布日期,oa_文章位置,oa_推送人数,oa_阅读来源,oa_阅读人数,oa_原文页阅读人数,oa_分享人数,oa_拇指赞人数,oa_收藏人数,oa_留言条数,oa_阅读后关注人数,oa_阅读送达率,oa_阅读完成率,oa_平均阅读时长（分钟）,oa_阅读跳出率,oa_统计日期,oa_每日阅读人数,oa_每日分享人数
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_1,平时爱跑步，看起来很健康，为什么心跳说停就停？很多人忽视了这些预警信号！,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=1&sn=59d5651c666d5242fae1124087e3bd4b&chksm=87f0d52cb0875c3a17e2e633857dcd7033ac82b9061932770fd16eb2b0e9058f59f70ee2c905#rd,2026-03-27,1,1447,"公众号消息:1422,聊天会话:18,公众号主页:1,推荐:1,搜一搜:6,朋友圈:0,其他:0",1447,0,33,5,2,0,0,0.00250076502562,0.183137521148,1.6624083519,0.168693006039,2026-03-27,1447,33
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_1,平时爱跑步，看起来很健康，为什么心跳说停就停？很多人忽视了这些预警信号！,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=1&sn=59d5651c666d5242fae1124087e3bd4b&chksm=87f0d52cb0875c3a17e2e633857dcd7033ac82b9061932770fd16eb2b0e9058f59f70ee2c905#rd,2026-03-27,1,3600,"公众号消息:2063,聊天会话:36,朋友圈:29,公众号主页:9,其他:2,推荐:1,搜一搜:17",3600,0,83,8,3,0,0,0.0036280436907,0.192289829254,1.84764075279,0.169647425413,2026-03-28,2153,50
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_1,平时爱跑步，看起来很健康，为什么心跳说停就停？很多人忽视了这些预警信号！,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=1&sn=59d5651c666d5242fae1124087e3bd4b&chksm=87f0d52cb0875c3a17e2e633857dcd7033ac82b9061932770fd16eb2b0e9058f59f70ee2c905#rd,2026-03-27,1,5943,"公众号消息:2241,聊天会话:41,朋友圈:30,公众号主页:12,其他:2,推荐:1,搜一搜:20",5943,0,135,10,3,1,0,0.00394107913598,0.196756288409,1.89144527912,0.171052634716,2026-03-29,2343,52
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_2,分秒必争！“无人机+AED”系统为马拉松运动员抢下“黄金4分钟”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=2&sn=ea5a734a2b496daf64cdcbad5bb9f1a7&chksm=87f0d52cb0875c3a5617076c6573e4d0bad9f02732892a239c202fdf22ac1a1b7c6741f9e6cf#rd,2026-03-27,2,76,"公众号消息:72,搜一搜:4,聊天会话:0,朋友圈:0,公众号主页:0,其他:0,推荐:0",76,0,0,1,0,0,0,0.000126621016534,0.078947365284,0.808527112007,0.37209302187,2026-03-27,76,0
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_2,分秒必争！“无人机+AED”系统为马拉松运动员抢下“黄金4分钟”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=2&sn=ea5a734a2b496daf64cdcbad5bb9f1a7&chksm=87f0d52cb0875c3a5617076c6573e4d0bad9f02732892a239c202fdf22ac1a1b7c6741f9e6cf#rd,2026-03-27,2,201,"公众号消息:116,公众号主页:4,搜一搜:6,聊天会话:0,朋友圈:0,其他:0,推荐:0",201,0,2,3,0,0,0,0.000204000520171,0.0960000008345,1.02905404568,0.405405402184,2026-03-28,125,2
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_2,分秒必争！“无人机+AED”系统为马拉松运动员抢下“黄金4分钟”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=2&sn=ea5a734a2b496daf64cdcbad5bb9f1a7&chksm=87f0d52cb0875c3a5617076c6573e4d0bad9f02732892a239c202fdf22ac1a1b7c6741f9e6cf#rd,2026-03-27,2,362,"公众号消息:140,公众号主页:6,搜一搜:16,聊天会话:0,朋友圈:0,其他:0,推荐:0",362,0,5,4,0,0,0,0.000246207520831,0.149068325758,1.08493590355,0.355769217014,2026-03-29,161,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_3,这些症状，不只是“记性差”！早发现早治疗，结局真的不一样,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=3&sn=6c4eba6036db3b0474738fbb8f760c1b&chksm=87f0d52cb0875c3ab194ff87bd897f4467a715198bf9bd70813421f7ac693c19371a0807ca3e#rd,2026-03-27,3,105,"公众号消息:97,聊天会话:3,公众号主页:1,搜一搜:4,朋友圈:0,其他:0,推荐:0",105,0,3,0,1,0,0,0.000170586645254,0.12380952388,1.53750002384,0.22499999404,2026-03-27,105,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_3,这些症状，不只是“记性差”！早发现早治疗，结局真的不一样,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=3&sn=6c4eba6036db3b0474738fbb8f760c1b&chksm=87f0d52cb0875c3ab194ff87bd897f4467a715198bf9bd70813421f7ac693c19371a0807ca3e#rd,2026-03-27,3,293,"公众号消息:170,聊天会话:6,公众号主页:5,其他:1,搜一搜:7,朋友圈:0,推荐:0",293,0,6,1,3,0,0,0.000298966275295,0.138297870755,1.65732860565,0.228571429849,2026-03-28,188,3
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_3,这些症状，不只是“记性差”！早发现早治疗，结局真的不一样,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=3&sn=6c4eba6036db3b0474738fbb8f760c1b&chksm=87f0d52cb0875c3ab194ff87bd897f4467a715198bf9bd70813421f7ac693c19371a0807ca3e#rd,2026-03-27,3,521,"公众号消息:198,聊天会话:10,公众号主页:8,其他:2,搜一搜:13,朋友圈:0,推荐:0",521,0,11,2,3,0,0,0.000348207773641,0.162280708551,2.01015329361,0.21387283504,2026-03-29,228,5
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_4,【通知】杭州师范大学附属医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=4&sn=fe4be4aec07b8f2c5d1d94519a431976&chksm=87f0d52cb0875c3a1a20da4066b99177c10fca8cde5a621c6f0a414642df9eb414a2ee9ff91f#rd,2026-03-27,4,90,"公众号消息:87,搜一搜:3,聊天会话:0,朋友圈:0,公众号主页:0,其他:0,推荐:0",90,0,0,0,0,0,1,0.000153000393766,0.455555558205,0.242401957512,0,2026-03-27,90,0
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_4,【通知】杭州师范大学附属医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=4&sn=fe4be4aec07b8f2c5d1d94519a431976&chksm=87f0d52cb0875c3a1a20da4066b99177c10fca8cde5a621c6f0a414642df9eb414a2ee9ff91f#rd,2026-03-27,4,269,"公众号消息:172,公众号主页:1,搜一搜:6,聊天会话:0,朋友圈:0,其他:0,推荐:0",269,0,0,0,0,0,1,0.000302483531414,0.525139689445,0.344634711742,0,2026-03-28,179,0
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491542_4,【通知】杭州师范大学附属医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491542&idx=4&sn=fe4be4aec07b8f2c5d1d94519a431976&chksm=87f0d52cb0875c3a1a20da4066b99177c10fca8cde5a621c6f0a414642df9eb414a2ee9ff91f#rd,2026-03-27,4,490,"公众号消息:209,公众号主页:1,搜一搜:11,聊天会话:0,朋友圈:0,其他:0,推荐:0",490,0,1,3,0,0,1,0.000367552653188,0.538461565971,0.357509166002,0,2026-03-29,221,1
