医院组织 id,公众号名称,公众号类型,公众号 appid,文章 id,文章标题,文章内容,文章 url,文章发布日期,oa_文章位置,oa_推送人数,oa_阅读来源,oa_阅读人数,oa_原文页阅读人数,oa_分享人数,oa_拇指赞人数,oa_收藏人数,oa_留言条数,oa_阅读后关注人数,oa_阅读送达率,oa_阅读完成率,oa_平均阅读时长（分钟）,oa_阅读跳出率,oa_统计日期,oa_每日阅读人数,oa_每日分享人数
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,7819,"公众号消息:7748,聊天会话:12,朋友圈:30,公众号主页:14,推荐:13,搜一搜:16,其他:0",7819,0,23,32,4,3,1,0.0042539848946,0.355799973011,0.412765949965,0.019917583093,2026-03-17,7819,23
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,20752,"公众号消息:12795,聊天会话:21,朋友圈:34,公众号主页:42,其他:1,推荐:18,搜一搜:48",20752,0,60,52,12,4,1,0.00702500529587,0.364184647799,0.431085675955,0.021428572014,2026-03-18,12933,37
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,34305,"公众号消息:13375,聊天会话:24,朋友圈:34,公众号主页:57,其他:3,推荐:19,搜一搜:73",34305,0,101,58,14,4,1,0.0073434500955,0.367003619671,0.438153684139,0.0214149747044,2026-03-19,13553,41
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,48112,"公众号消息:13585,聊天会话:27,朋友圈:34,公众号主页:75,其他:3,推荐:19,搜一搜:99",48112,0,142,59,14,4,2,0.00745874922723,0.36800172925,0.441559702158,0.0216662772,2026-03-20,13807,41
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,62066,"公众号消息:13688,聊天会话:30,朋友圈:34,公众号主页:89,其他:4,推荐:19,搜一搜:127",62066,0,184,61,14,4,2,0.00751530053094,0.367349863052,0.441555678844,0.0218330509961,2026-03-21,13954,42
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,76158,"公众号消息:13780,聊天会话:30,朋友圈:34,公众号主页:103,其他:4,推荐:19,搜一搜:160",76158,0,226,63,14,4,2,0.00756581220776,0.367726355791,0.442870229483,0.0221627820283,2026-03-22,14092,42
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,90400,"公众号消息:13876,聊天会话:30,朋友圈:34,公众号主页:120,其他:5,推荐:19,搜一搜:196",90400,0,269,64,14,4,2,0.00761852040887,0.368698209524,0.445604711771,0.0219397787005,2026-03-23,14242,43
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,104779,"公众号消息:13967,聊天会话:30,朋友圈:34,公众号主页:138,其他:5,推荐:19,搜一搜:225",104779,0,313,64,14,4,2,0.00766848353669,0.36880171299,0.446987479925,0.0218874141574,2026-03-24,14379,44
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,119283,"公众号消息:14032,聊天会话:36,朋友圈:34,公众号主页:161,其他:5,推荐:19,搜一搜:259",119283,0,360,64,14,5,3,0.00770417135209,0.369553238153,0.447632282972,0.0217003561556,2026-03-25,14504,47
1003041,上海市中医医院,服务号,wx7193cbf779af3716,2247492274_1,【市中医|通知】上海市中医医院2026年清明节门诊安排,,http://mp.weixin.qq.com/s?__biz=MzU1NDk1NzkzNQ==&mid=2247492274&idx=1&sn=c33a8efe1abdb557e009b18b8326772f&chksm=fbd90fb2ccae86a408958b7d0fdfc6fad38b008205b46f680fabb9b3c54a0f9acc4a72203542#rd,2026-03-17,1,133922,"公众号消息:14112,聊天会话:36,朋友圈:34,公众号主页:188,其他:6,推荐:19,搜一搜:290",133922,0,407,64,14,5,3,0.00774809485301,0.369697391987,0.448429614305,0.0218063946813,2026-03-26,14639,47
